GenotypeID_V5_Grzybowski_etal_2022,State_Country_Origin,Subpopulation_Heteroticgroup
DK83IBI3,DEKALB Plant Genetics,Iodent
DK84BRQ4,DEKALB Plant Genetics,Stiff Stalk
DK8F196,DEKALB Plant Genetics,Stiff Stalk
DK8M116,DEKALB Plant Genetics,Unclassified
DK8M129,DEKALB Plant Genetics,Unclassified
DKF274,DEKALB Plant Genetics,Stiff Stalk
DKFAPW,,Stiff Stalk
DKFBHJ,DEKALB Plant Genetics,Stiff Stalk
DKHBA1,DEKALB Plant Genetics,Unclassified
DKIB014,DEKALB Plant Genetics,Iodent
DKIB02,DEKALB Plant Genetics,Iodent
DKMBNA,DEKALB Plant Genetics,Non Stiff Stalk
DKMBUB,DEKALB Plant Genetics,Non Stiff Stalk
DKMBZA,DEKALB Plant Genetics,Iodent
DKMFD-13D,,Non Stiff Stalk
DKMM402A,DEKALB Plant Genetics,Non Stiff Stalk
DKNL001,DEKALB Plant Genetics,Stiff Stalk
DKPB80,DEKALB Plant Genetics,Stiff Stalk
DKWDAD1,DEKALB Plant Genetics,Stiff Stalk
E2558W,South Africa,Non Stiff Stalk
E8501,ExPVP,Non Stiff Stalk
EAST_028,China,Unclassified
Eng-Li_Chih,China,Unclassified
EP1,Spain,Sweet Corn
F115,"France, Puy-de-Dome",Unclassified
F118,DEKALB Plant Genetics,Stiff Stalk
F2,"France, Peronne",Sweet Corn
F2834T,South Africa,Tropical
F42,ExPVP,Stiff Stalk
F44,Florida,Unclassified
F6,Florida,Unclassified
F7,"France ,Peronne",Sweet Corn
FBLA,ExPVP,Stiff Stalk
FBLL,,Stiff Stalk
FC46,France,PopCorn
Fe,Indiana,Unclassified
FR19,ExPVP,Stiff Stalk
G22_T122,Other,Flint
G3_T5a,Other,Flint
G80,ExPVP,Stiff Stalk
GA209,Georgia,Non Stiff Stalk
GE129,Georgia,Unclassified
GE54,Georgia,Unclassified
GT112,Georgia,Non Stiff Stalk
H105W,Indiana,Stiff Stalk
H110,Indiana,Stiff Stalk
H113,Indiana,Unclassified
H114,Indiana,Stiff Stalk
H121,Indiana,Unclassified
H122w,Indiana,Stiff Stalk
H124w,Indiana,Unclassified
H14,Indiana,Unclassified
H42,Indiana,Unclassified
H49,Indiana,Non Stiff Stalk
H5,Indiana,Non Stiff Stalk
H52,Indiana,Non Stiff Stalk
H71,Indiana,Non Stiff Stalk
H84,Indiana,Stiff Stalk
H91,Indiana,Stiff Stalk
H95,Indiana,Non Stiff Stalk
H96,Indiana,Unclassified
H99,Indiana,Non Stiff Stalk
HB8229,ExPVP,Stiff Stalk
Hi26,Hawaii,Unclassified
Hi27Goodman-Buckler,Hawaii,Tropical
Hi28,Hawaii,Tropical
HP301,Indiana,PopCorn
Huanyao,China,Tropical
Huobai,China,Tropical
Hy,Illinois,Non Stiff Stalk
I_205,Iowa,Unclassified
I137TN,South Africa,Tropical 
I159,Iowa,Stiff Stalk
i1677a,Illinois,Sweet Corn
I29,Iowa,PopCorn
IA2132,Iowa,Sweet Corn
Ia453,Iowa,Sweet Corn
Ia5125,Iowa,Sweet Corn
Ia5125B,Iowa,Sweet Corn
IBB14,ExPVP,Iodent
IBB15,ExPVP,Iodent
IBC2,ExPVP,Non Stiff Stalk
ICI_193,ExPVP,Unclassified
ICI_441,ExPVP,Stiff Stalk
ICI_581,,Non Stiff Stalk
ICI_740,ExPVP,Stiff Stalk
ICI_893,ExPVP,Stiff Stalk
ICI_986,,Iodent
IDS28,Iowa,PopCorn
IDS69,Iowa,PopCorn
IDS91,Iowa,PopCorn
Il_101T,Other,Sweet Corn
Il101,Illinois,Sweet Corn
Il14H,Illinois,Sweet Corn
Il778d,Illinois,Sweet Corn
INB_101LFY/LFY_(A632_X_M16_S5),Other,Stiff Stalk
